Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Statistik als Exceldatei,,,
,Anzahl der ausländischen Strafgefangenen in den Justizvollzugsanstalten in Deutschland nach den zehn wichtigsten Staatsangehörigkeiten am 31. März 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Ende März 2024 gab es in Deutschland rund 1.760 türkische Strafgefangene. Damit waren Türken die größte Gruppe unter den ausländischen Gefängnisinsassen; gefolgt von Polen mit circa 1.490. Insgesamt waren etwa 16.400 Ausländer inhaftiert. 
 Welche Personengruppen sind in den Zahlen enthalten? 
 In dieser Statistik geht es ausländische Strafgefangene und Sicherungsverwahrte in den Justizvollzugsanstalten, d.h. um verurteilte Straftäter, die in einer Justizvollzugsanstalt eine Freiheits- oder Jugendstrafe verbüßen oder sich in Sicherungsverwahrung befinden. Nicht enthalten sind die Personen in Untersuchungshaft oder die Personen, die der Gruppe ""sonstige Freiheitsentziehung"" zuzuordnen waren. Diese Personen befanden sich z.B. im Vollzug einer in Auslieferungshaft, einer Ersatzfreiheitsstrafe oder einer Ordnungshaft. Die Statistik zu den Gefangenen und Verwahrten in den Justizvollzugsanstalten nach Art der Haft zeigt einen Überblick über alle in deutschen JVAs befindlichen Gefangenen und Verwahrten. 
 Was sind Justizvollzugsanstalten? 
 Justizvollzugsanstalten (JVA) sind Einrichtungen des Justizvollzugs zur Vollstreckung von Freiheitsstrafen, Jugendstrafen und Sicherungsverwahrungen. Auch der Vollzug einer Untersuchungshaft, einer Auslieferungshaft, einer Ersatzfreiheitsstrafe oder einer Ordnungshaft findet in Justizvollzugsanstalten statt. In Deutschland werden Justizvollzugsanstalten auch oft mit dem Begriff Gefängnis bezeichnet. Bundesweit gab es im Jahr 2025 mehr als 170 Justizvollzugsanstalten , davon befanden sich die meisten in den Bundesländern Bayern und Nordrhein-Westfalen. "
,Quelle,Statistisches Bundesamt,,
,Erhebung durch,Statistisches Bundesamt,,
,Erhebungszeitraum,31. März 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,"Freiheitsstrafen, Jugendstrafen und Sicherungsverwahrung, ohne Untersuchungshaft und sonstige Freiheitsentziehung",,
,Hinweis,n.a.,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Statistisches Bundesamt,,
,Veröffentlichungsdatum,Dezember 2024,,
,Herkunftsverweis,"Statistischer Bericht Strafvollzug 2024, Reiter 24321-08",,
,ID,1351880,,
,,,,
,Ausländische Strafgefangene in Deutschland nach Staatsangehörigkeiten 2024,,,
,Anzahl der ausländischen Strafgefangenen in den Justizvollzugsanstalten in Deutschland nach den zehn wichtigsten Staatsangehörigkeiten am 31. März 2024,,,
,,,,
,Türkei,"1,756",,
,Polen,"1,493",,
,Syrien,"1,094",,
,Rumänien,983,,
,Afghanistan,609,,
,Marokko,596,,
,Algerien,567,,
,Serbien,504,,
,Albanien,477,,
,Italien,465,,
