Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Ausländische Straftatverdächtige in Deutschland nach Staatsangehörigkeiten 2024,,,
,Anzahl der ausländischen Straftatverdächtigen in Deutschland nach den zehn wichtigsten Staatsangehörigkeiten im Jahr 2024,,,
,,,,
,Syrien,"114,889",,
,Türkei,"93,253",,
,Rumänien,"65,041",,
,Ukraine,"55,669",,
,Afghanistan,"49,427",,
,Polen,"47,771",,
,Bulgarien,"27,940",,
,Irak,"23,185",,
,Serbien,"22,072",,
,Italien,"19,353",,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der ausländischen Straftatverdächtigen in Deutschland nach den zehn wichtigsten Staatsangehörigkeiten im Jahr 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 wurden in Deutschland rund 115.000 syrische Tatverdächtige von der Polizei ermittelt. Damit waren Syrer die größte ausländische Tätergruppe; gefolgt von Türken mit circa 93.300 und Rumänen mit etwa 65.000 Tatverdächtigen. Insgesamt wurden ungefähr 913.000 ausländische Tatverdächtige ermittelt; das entsprach einem Anteil von 41,8 Prozent. Als möglichen Grund für Ausländerkriminalität nennt das Bundeskriminalamt (BKA) auch Risikofaktoren bei Schutzsuchenden, etwa deren eigene Gewalterfahrungen. Zudem sollten bei der Interpretation der steigende  Ausländeranteil in Deutschland , soziodemografische Unterschiede zwischen deutscher und nicht-deutscher Bevölkerung sowie der Eingang nicht in Deutschland wohnhafter Personen in die Kriminalstatistik berücksichtigt werden. 
 Was sind Ausländer? 
 Personen, die nicht Deutsche im Sinne des Artikels 116 Absatz 1 des Grundgesetzes sind, sind per Definition Ausländer/innen . Zu dieser Gruppe zählen auch Staatenlose und Personen mit ungeklärter Staatsangehörigkeit. Ausländer/innen können in Deutschland geboren oder zugewandert sein. Nicht zur ausländischen Bevölkerung gehören Deutsche, die zugleich eine fremde Staatsangehörigkeit besitzen . Ausländer/innen sind eine Teilgruppe der Personen mit Migrationshintergrund . 
 Welche Straftaten werden in der PKS abgebildet? 
 In der Polizeilichen Kriminalstatistik (PKS) werden die der Polizei - etwa durch eine Anzeige - bekannt gewordenen und durch sie endbearbeiteten Straftaten abgebildet, d.h. die Akte wurde nach Abschluss der polizeilichen Ermittlungen an die Staatsanwaltschaft übergeben. Es handelt sich damit um eine sogenannte Ausgangsstatistik. Dabei ist zu beachten, dass die Zahlen auch durch das Anzeigeverhalten der Bevölkerung beeinflusst werden und neben dem ""Hellfeld"" stets ein ""Dunkelfeld"" nicht erfasster Taten bleibt. Hinzu kommt, dass die Polizeiliche Kriminalstatistik keine Aussage darüber treffen kann, welchen Verlauf das bei den Justizbehörden in Gang gesetzte Verfahren nimmt, ob also letztendlich eine Verurteilung erfolgt. Es sind daher auch Fälle beinhaltet, in denen das Verfahren durch die Staatsanwaltschaft eingestellt wurde oder es zu einem Freispruch durch das Gericht gekommen ist. "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,inkl. Tatversuche,,
,Hinweis," Bei doppelter Staatsangehörigkeit wird laut Quelle nur die deutsche gezählt. Die jeweils andere wird nicht berücksichtigt, d.h. deutsche Doppelstaatler gehen nicht in diese Statistik ein. Hingegen gehen auch nicht in Deutschland wohnhafte Ausländer in die Statistik ein, sofern die Straftat hier begangen wurde. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundeskriminalamt,,
,Veröffentlichungsdatum,April 2025,,
,Herkunftsverweis,Polizeiliche Kriminalstatistik (PKS) 2024 - Tatverdächtigentabellen - Straftaten und Staatsangehörigkeit nichtdeutscher Tatverdächtiger,,
,ID,2461,,
