Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Tatverdächtigenbelastung in Deutschland nach Inländern und Ausländern bis 2024,,,
,Anzahl der Straftatverdächtigen pro 100.000 Einwohner in Deutschland nach Inländern und Ausländern von 2014 bis 2024,,,
,,Insgesamt,Deutsche Bevölkerung,Ausländische Bevölkerung
,2014,"2,563.70","2,197","6,306.10"
,2015,"2,643.90","2,091.90","7,921.40"
,2016,"2,573.30","2,024.20","7,195.30"
,2017,"2,455.70","1,983.70","6,205.10"
,2018,"2,395.70","1,941.10","5,840.30"
,2019,"2,339.60","1,914.30","5,431.40"
,2020,"2,304.30","1,900.20","5,153.10"
,2021,"2,222.30","1,828.80","4,942.90"
,2022,"2,388.40","1,919.60","5,528.10"
,2023,"2,465.50","1,944.60","5,542.80"
,2024*,"2,420.70","1,879.10","5,628.60"
,,,,
,Statistik als Exceldatei,,,
,Anzahl der Straftatverdächtigen pro 100.000 Einwohner in Deutschland nach Inländern und Ausländern von 2014 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 wurden in Deutschland rund 2.420 von 100.000 Einwohnern ab 8 Jahren als Straftatverdächtige polizeilich erfasst. Damit sank die sog. Tatverdächtigenbelastung um circa 1,8 Prozent gegenüber dem Vorjahr.* Bei der ausländischen Bevölkerung war sie mit etwa 5.630 Tatverdächtigen pro 100.000 Einwohner deutlich höher als bei der deutschen Bevölkerung mit ungefähr 1.880. "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2014 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,ab 8 Jahre,,
,Besondere Eigenschaften,inkl. Tatversuche,,
,Hinweis, * Ab 2024: Berechnet mit der Bevölkerungszahl auf Basis Zensus 2022. Ein Vergleich mit den Vorjahren ist daher laut Quelle nur eingeschränkt möglich. ,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundeskriminalamt,,
,Veröffentlichungsdatum,April 2025,,
,Herkunftsverweis,Polizeiliche Kriminalstatistik (PKS) 2024 - Zeitreihen - Tatverdächtigenbelastung Wohnbevölkerung TVBZ,,
,ID,1617411,,
