Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Statistik als Exceldatei,,,
,Anteil der ausländischen Straftatverdächtigen in Deutschland von 2014 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 betrug der Anteil der ausländischen Tatverdächtigen an allen polizeilich erfassten Straftaten in Deutschland 41,8 Prozent, und ohne Straftaten gegen Ausländergesetze 35,4 Prozent. Damit stieg der Ausländeranteil bei beiden Betrachtungsweisen auf einen neuen Höchststand. Als möglichen Grund für diesen Anstieg nennt das Bundeskriminalamt (BKA) auch Risikofaktoren bei Schutzsuchenden, etwa deren eigene Gewalterfahrungen. Zudem sollten bei der Interpretation der steigende  Ausländeranteil in Deutschland , soziodemografische Unterschiede zwischen deutscher und nicht-deutscher Bevölkerung sowie der Eingang nicht in Deutschland wohnhafter Personen in die Kriminalstatistik berücksichtigt werden. 
 Welche Straftaten werden in der PKS abgebildet? 
 In der Polizeilichen Kriminalstatistik (PKS) werden die der Polizei - etwa durch eine Anzeige - bekannt gewordenen und durch sie endbearbeiteten Straftaten abgebildet, d.h. die Akte wurde nach Abschluss der polizeilichen Ermittlungen an die Staatsanwaltschaft übergeben. Es handelt sich damit um eine sogenannte Ausgangsstatistik. Dabei ist zu beachten, dass die Zahlen auch durch das Anzeigeverhalten der Bevölkerung beeinflusst werden und neben dem ""Hellfeld"" stets ein ""Dunkelfeld"" nicht erfasster Taten bleibt. Hinzu kommt, dass die Polizeiliche Kriminalstatistik keine Aussage darüber treffen kann, welchen Verlauf das bei den Justizbehörden in Gang gesetzte Verfahren nimmt, ob also letztendlich eine Verurteilung erfolgt. Es sind daher auch Fälle beinhaltet, in denen das Verfahren durch die Staatsanwaltschaft eingestellt wurde oder es zu einem Freispruch durch das Gericht gekommen ist. 
 Welche Straftaten / Delikte sind in der PKS nicht enthalten? 
 Laut BKA sind folgende Straftaten nicht enthalten: 
 
 Staatsschutzdelikte 
 Verkehrsdelikte (mit Ausnahme der Verstöße gegen §§ 315, 315b StGB und § 22a StVG) 
 Straftaten, die außerhalb der Bundesrepublik Deutschland begangen wurden 
 Verstöße gegen strafrechtliche Landesgesetze (mit Ausnahme der einschlägigen Vorschriften in den Landesdatenschutzgesetzen) 
 Delikte, die nicht zum Aufgabenbereich der Polizei gehören (z.B. Finanz- und Steuerdelikte) 
 Delikte, die unmittelbar bei der Staatsanwaltschaft angezeigt und ausschließlich von ihr bearbeitet werden (z.B. Aussagedelikte) 
 "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2014 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,inkl. Tatversuche,,
,Hinweis,n.a.,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundeskriminalamt,,
,Veröffentlichungsdatum,April 2025,,
,Herkunftsverweis,Polizeiliche Kriminalstatistik (PKS) 2024 - Zeitreihen - Grundtabelle Fälle,,
,ID,2460,,
,,,,
,Ausländeranteil bei Straftatverdächtigen in Deutschland bis 2024,,,
,Anteil der ausländischen Straftatverdächtigen in Deutschland von 2014 bis 2024,,,
,,Alle Straftaten,Ohne Straftaten gegen Ausländergesetze,
,2014,28.70,24.30,in %
,2015,38.50,27.60,in %
,2016,40.40,30.50,in %
,2017,34.80,30.40,in %
,2018,34.50,30.50,in %
,2019,34.60,30.40,in %
,2020,33.70,29.90,in %
,2021,33.80,29.90,in %
,2022,37.40,31.90,in %
,2023,41.10,34.40,in %
,2024,41.80,35.40,in %
