Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Statistik als Exceldatei,,,
,Anzahl der ausländischen Straftatverdächtigen in Deutschland von 2014 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 wurden in Deutschland insgesamt rund 913.000 ausländische Straftatverdächtige von der Polizei ermittelt, und ohne Straftaten gegen Ausländergesetze circa 697.000. Damit sank ihre Zahl bei ersterer Betrachtungsweise um etwa 1,1 Prozent gegenüber dem Vorjahr, aber stieg bei letzterer das dritte Jahr in Folge und auf einen neuen Höchststand. Als möglichen Grund für diesen Anstieg nennt das Bundeskriminalamt (BKA) auch Risikofaktoren bei Schutzsuchenden, etwa deren eigene Gewalterfahrungen. Zudem sollten bei der Interpretation die steigende  Ausländerzahl in Deutschland , soziodemografische Unterschiede zwischen deutscher und nicht-deutscher Bevölkerung sowie der Eingang nicht in Deutschland wohnhafter Personen in die Kriminalstatistik berücksichtigt werden. 
 Welche Straftaten werden in der PKS abgebildet? 
 In der Polizeilichen Kriminalstatistik (PKS) werden die der Polizei - etwa durch eine Anzeige - bekannt gewordenen und durch sie endbearbeiteten Straftaten abgebildet, d.h. die Akte wurde nach Abschluss der polizeilichen Ermittlungen an die Staatsanwaltschaft übergeben. Es handelt sich damit um eine sogenannte Ausgangsstatistik. Dabei ist zu beachten, dass die Zahlen auch durch das Anzeigeverhalten der Bevölkerung beeinflusst werden und neben dem ""Hellfeld"" stets ein ""Dunkelfeld"" nicht erfasster Taten bleibt. Hinzu kommt, dass die Polizeiliche Kriminalstatistik keine Aussage darüber treffen kann, welchen Verlauf das bei den Justizbehörden in Gang gesetzte Verfahren nimmt, ob also letztendlich eine Verurteilung erfolgt. Es sind daher auch Fälle beinhaltet, in denen das Verfahren durch die Staatsanwaltschaft eingestellt wurde oder es zu einem Freispruch durch das Gericht gekommen ist. 
 Welche Straftaten / Delikte sind in der PKS nicht enthalten? 
 Laut BKA sind folgende Straftaten nicht enthalten: 
 
 Staatsschutzdelikte 
 Verkehrsdelikte (mit Ausnahme der Verstöße gegen §§ 315, 315b StGB und § 22a StVG) 
 Straftaten, die außerhalb der Bundesrepublik Deutschland begangen wurden 
 Verstöße gegen strafrechtliche Landesgesetze (mit Ausnahme der einschlägigen Vorschriften in den Landesdatenschutzgesetzen) 
 Delikte, die nicht zum Aufgabenbereich der Polizei gehören (z.B. Finanz- und Steuerdelikte) 
 Delikte, die unmittelbar bei der Staatsanwaltschaft angezeigt und ausschließlich von ihr bearbeitet werden (z.B. Aussagedelikte) 
 "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2014 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,inkl. Tatversuche,,
,Hinweis,n.a.,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundeskriminalamt,,
,Veröffentlichungsdatum,April 2025,,
,Herkunftsverweis,Polizeiliche Kriminalstatistik (PKS) 2024 - Zeitreihen - Grundtabelle Fälle,,
,ID,1617191,,
,,,,
,Ausländische Straftatverdächtige in Deutschland bis 2024,,,
,Anzahl der ausländischen Straftatverdächtigen in Deutschland von 2014 bis 2024,,,
,,Alle Straftaten,Ohne Straftaten gegen Ausländergesetze,
,2014,"617,392","492,610",
,2015,"911,864","555,820",
,2016,"953,744","616,230",
,2017,"736,265","599,357",
,2018,"708,380","589,200",
,2019,"699,261","577,241",
,2020,"663,199","557,688",
,2021,"639,127","533,483",
,2022,"783,876","612,438",
,2023,"923,269","694,981",
,2024,"913,196","696,873",
