Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Ausländische Strafgefangene in Deutschland bis 2024,,,
,Anzahl der ausländischen Strafgefangenen in den Justizvollzugsanstalten in Deutschland von 2014 bis 2024,,,
,,,,
,2014,"13,285",,
,2015,"13,273",,
,2016,"14,195",,
,2017,"15,522",,
,2018,"16,267",,
,2019,"16,852",,
,2020,"15,651",,
,2021,"15,082",,
,2022,"14,497",,
,2023,"15,559",,
,2024,"16,376",,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der ausländischen Strafgefangenen in den Justizvollzugsanstalten in Deutschland von 2014 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Ende März 2024 gab es in Deutschland rund 16.400 ausländische Strafgefangene. Damit stieg ihre Zahl das zweite Jahr in Folge und auf den höchsten Stand seit 2019. Bei der Interpretation sollten die steigende Ausländerzahl in Deutschland , soziodemografische Unterschiede zwischen deutscher und nicht-deutscher Bevölkerung sowie der Eingang nicht in Deutschland wohnhafter Personen berücksichtigt werden. 
 Welche Personengruppen sind in den Zahlen enthalten? 
 In dieser Statistik geht es um ausländische Strafgefangene und Sicherungsverwahrte in den Justizvollzugsanstalten, d.h. um verurteilte Straftäter, die in einer Justizvollzugsanstalt eine Freiheits- oder Jugendstrafe verbüßen oder sich in Sicherungsverwahrung befinden. Nicht enthalten sind die Personen in Untersuchungshaft oder die Personen, die der Gruppe ""sonstige Freiheitsentziehung"" zuzuordnen waren. Diese Personen befanden sich z.B. im Vollzug einer in Auslieferungshaft, einer Ersatzfreiheitsstrafe oder einer Ordnungshaft. Die Statistik zu den Gefangenen und Verwahrten in den Justizvollzugsanstalten nach Art der Haft zeigt einen Überblick über alle in deutschen JVAs befindlichen Gefangenen und Verwahrten. 
 Was sind Justizvollzugsanstalten? 
 Justizvollzugsanstalten (JVA) sind Einrichtungen des Justizvollzugs zur Vollstreckung von Freiheitsstrafen, Jugendstrafen und Sicherungsverwahrungen. Auch der Vollzug einer Untersuchungshaft, einer Auslieferungshaft, einer Ersatzfreiheitsstrafe oder einer Ordnungshaft findet in Justizvollzugsanstalten statt. In Deutschland werden Justizvollzugsanstalten auch oft mit dem Begriff Gefängnis bezeichnet. Bundesweit gab es im Jahr 2025 mehr als 170 Justizvollzugsanstalten , davon befanden sich die meisten in den Bundesländern Bayern und Nordrhein-Westfalen. "
,Quelle,Statistisches Bundesamt,,
,Erhebung durch,Statistisches Bundesamt,,
,Erhebungszeitraum,2014 bis 2024*,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,"Freiheitsstrafen, Jugendstrafen und Sicherungsverwahrung, ohne Untersuchungshaft und sonstige Freiheitsentziehung",,
,Hinweis, * Jeweils zum Stichtag 31. März. ,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Statistisches Bundesamt,,
,Veröffentlichungsdatum,Dezember 2024,,
,Herkunftsverweis,"Statistischer Bericht Strafvollzug 2024, Reiter 24321-08",,
,ID,1351425,,
